customer_id,order_count,total_sales,city
117.0,5,4100000,성남
102.0,4,3996000,고양
83.0,4,3880000,수원
30.0,5,3590000,서울
40.0,4,3523000,서울
20.0,2,3191000,인천
3.0,2,3178000,성남
111.0,3,3153000,광주
66.0,4,3093000,서울
147.0,2,2990000,부산
18.0,3,2960000,고양
135.0,2,2870000,대구
105.0,3,2837000,광주
38.0,2,2834000,울산
60.0,2,2812000,성남
24.0,4,2419000,대전
56.0,3,2411000,인천
32.0,2,2389000,고양
106.0,2,2343000,부산
128.0,2,2330000,고양
107.0,2,2325000,고양
37.0,2,2122000,고양
65.0,3,2107000,인천
16.0,2,2058000,부산
87.0,2,2022000,울산
5.0,2,2004000,부산
126.0,3,1961000,서울
114.0,3,1956000,성남
130.0,2,1942000,대전
23.0,1,1931000,대전
33.0,2,1913000,수원
43.0,1,1863000,고양
90.0,3,1831000,울산
78.0,3,1829000,울산
63.0,2,1675000,대전
144.0,1,1626000,광주
77.0,2,1625000,서울
50.0,2,1620000,광주
108.0,3,1591000,성남
47.0,3,1587000,울산
13.0,1,1549000,울산
8.0,2,1532000,수원
104.0,2,1496000,광주
125.0,2,1470000,수원
93.0,2,1460000,대전
121.0,2,1445000,서울
123.0,1,1436000,서울
137.0,2,1395000,울산
6.0,2,1349000,성남
39.0,1,1298000,대구
149.0,1,1295000,부산
141.0,1,1241000,광주
41.0,1,1229000,대구
84.0,1,1197000,성남
7.0,1,1173000,인천
115.0,1,1173000,부산
129.0,1,1142000,대구
9.0,2,1132000,서울
133.0,1,1098000,성남
119.0,1,1064000,대전
58.0,1,1059000,성남
145.0,3,1032000,성남
140.0,2,1029000,인천
124.0,2,1000000,대구
146.0,1,1000000,성남
76.0,1,996000,울산
116.0,2,937000,부산
70.0,1,924000,성남
103.0,1,923000,인천
14.0,1,905000,대전
98.0,2,898000,인천
28.0,1,881000,성남
27.0,2,862000,수원
99.0,1,860000,고양
55.0,1,837000,광주
110.0,1,804000,부산
95.0,1,760000,성남
26.0,1,735000,대구
122.0,2,734000,울산
68.0,2,643000,서울
4.0,1,603000,울산
113.0,1,579000,성남
86.0,1,569000,수원
21.0,1,526000,인천
22.0,1,512000,광주
36.0,1,471000,성남
91.0,2,456000,인천
12.0,1,396000,대전
71.0,1,394000,수원
138.0,1,350000,대구
118.0,1,344000,광주
31.0,1,306000,광주
62.0,1,292000,광주
148.0,1,271000,고양
92.0,1,267000,서울
49.0,1,262000,대구
15.0,1,252000,서울
69.0,2,130000,서울
80.0,1,118000,인천
112.0,2,112000,성남
